DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
CT,6100,19082200757,5,ACC HIGHLAND CHILLED WATER PLANT,,Contract and Land Management Department,unknown,unknown,25633791.67,25633791.67,25255263.52,08/23/2019,,10,Competitive Acquisition,08/24/0019,16,Construction,1,VC0000103145,FLINTCO LLC,N/A,IFB,6100,CLMC730,12/09/2024,CT6100190822007575VC0000103145
CT,6100,20080700966,3,BRUSH SQUARE - O. HENRY MUSEUM RESTORATION  CIP ID 7553.005,,Contract and Land Management Department,unknown,unknown,850321.45,850321.45,611954.51,08/07/2020,,15,Alt Proc Method (252),,8,Other Contracting,1,V00000933669,"GADBERRY CONSTRUCTION COMPANY, INC.",N/A,CSP,6100,CLMB331,12/09/2024,CT6100200807009663V00000933669
CT,6100,21061500672,8,ROSEDALE NORTH WATER AND WASTEWATER PIPELINE RENEWAL PHASE 2,,Contract and Land Management Department,unknown,unknown,3233056.7,3233056.7,1364788.2,06/21/2021,,10,Competitive Acquisition,06/12/0021,9,Construction,1,V00000919925,UNDERGROUND WATER SOLUTIONS CO.,N/A,IFB,6100,CLMC828,12/09/2024,CT6100210615006728V00000919925
CT,2200,22091500897,1,OFFICE TRAILERS,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,492880,492880,443592,07/21/2023,,10,Competitive Acquisition,09/17/0022,7,Commodities (Goods),1,V00000980434,TSG INDUSTRIES LLC,N/A,IFB,2200,MLJ1005,12/09/2024,CT2200220915008971V00000980434
CT,6100,17052600559,14,ONION CREEK FIRE EMS STATION REISSUE,,Contract and Land Management Department,unknown,unknown,4952044.83,4952044.83,4918121.01,06/01/2017,,15,Alt Proc Method (252),03/25/0017,14,Other Contracting,1,BAR7111710,RODRIGUEZ BARR INC,THE BARR CO AIA,CSP,6100,CLMB326A,12/09/2024,CT61001705260055914BAR7111710
CT,6100,23092100763,1,SAR ELEVATED TANK REHAB & IMPROVEMENTS - CIVIL WORK,,Contract and Land Management Department,unknown,unknown,2136347,2136347,0,10/12/2023,,10,Competitive Acquisition,09/23/0023,38,Construction,1,VS0000024973,"PROTA, INC.",N/A,IFB,6100,CLMC987,12/09/2024,CT6100230921007631VS0000024973
CT,6100,20123100188,11,ASBESTOS CEMENT WATER PIPE AND WW LINE REPLACEMENT (NE),,Contract and Land Management Department,unknown,unknown,3520112.72,3520112.72,2760795.69,01/04/2021,,10,Competitive Acquisition,12/12/0020,9,Construction,1,V00000919925,UNDERGROUND WATER SOLUTIONS CO.,N/A,IFB,6100,CLMC815,12/09/2024,CT61002012310018811V00000919925
CT,2200,23080400604,1,GAS CHROMATOGRAPH-MASS SPECTROPHOTOMETER,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,130000,130000,0,08/09/2023,,10,Competitive Acquisition,07/22/0023,64,Commodities (Goods),1,SHI7011100,SHIMADZU SCIENTIFIC INSTRUMENTS INC,N/A,IFB,2200,AMA1087,12/09/2024,CT2200230804006041SHI7011100
CT,6100,21020400293,6,HIGHLAND PARK WATER AND WASTEWATER IMPROVEMENTS - PHASE 2,,Contract and Land Management Department,unknown,unknown,6506098.09,6506098.09,5184286.79,02/05/2021,,10,Competitive Acquisition,01/29/0021,6,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC819,12/09/2024,CT6100210204002936SAN8316404
CT,6100,19071800626,6,WEST ALLANDALE AND TRAILRIDGE DRIVE UTILITY LINE RENEWAL,,Contract and Land Management Department,unknown,unknown,4935371,4935371,4378139.6,07/19/2019,,10,Competitive Acquisition,06/21/0019,6,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC734,12/09/2024,CT6100190718006266SAN8316404
CT,6100,21092401032,5,SPRINGDALE AND 290 WATER LINE IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,7064341.4,7064341.4,6279865.42,06/24/2022,,10,Competitive Acquisition,08/28/0021,7,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC847,12/09/2024,CT6100210924010325AUS8321418
CT,6100,21080900827,3,CISTERN SUBSTATION CUT-IN AND CKT 3121/3136 OPGW ADDITION,,Contract and Land Management Department,unknown,unknown,1531693.61,1531693.61,1455108.5,08/10/2021,,10,Competitive Acquisition,07/31/0021,22,Construction,1,V00000972774,KIEWIT INFRASTRUCTURE SOUTH CO.,N/A,IFB,6100,CLMC861,12/09/2024,CT6100210809008273V00000972774
CT,6100,21082400891,11,RAINEY STREET GAS INSULATED SWITCHGEAR (GIS) SUBSTATION,,Contract and Land Management Department,unknown,unknown,12579712.05,12579712.05,11900718.88,08/25/2021,,10,Competitive Acquisition,07/31/0021,16,Construction,1,JAY7119145,JAY-REESE CONTRACTORS INC,N/A,IFB,6100,CLMC833,12/09/2024,CT61002108240089111JAY7119145
CT,6100,19092400894,8,WALNUT CREEK WWTP SECONDARY PROCESS IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,24879795.34,24879795.34,23934363.12,09/27/2019,,10,Competitive Acquisition,,9,Construction,1,VS0000037240,"PLW WATERWORKS, LLC",N/A,IFB,6100,CLMC643A,12/09/2024,CT6100190924008948VS0000037240
CT,6100,20042700606,12,SOUTH AUSTIN REGIONAL WWTP ELECTRICAL SUBSTATION NO.1 REPLAC,,Contract and Land Management Department,unknown,unknown,31188996.83,31188996.83,26091878.34,05/28/2020,,10,Competitive Acquisition,04/25/0020,9,Non-Professional Services,1,TMO8320608,T MORALES COMPANY ELECTRIC & CONTROLS LTD,N/A,IFB,6100,CLMC739,12/09/2024,CT61002004270060612TMO8320608
CT,6100,21042000500,3,ZILKER METRO PARK - MAINTENANCE BARN REPLACEMENT REBID,,Contract and Land Management Department,unknown,unknown,2051876,2051876,455630.12,04/20/2021,,10,Competitive Acquisition,04/10/0021,3,Construction,1,VS0000031622,"SAYERS CONSTRUCTION, LLC",N/A,IFB,6100,CLMC821A,12/09/2024,CT6100210420005003VS0000031622
CT,4400,22051100568,2,5 YEAR FOOD SYSTEM PLANNING,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,250000,250000,163651.15,08/16/2022,,10,Competitive Acquisition,07/30/0022,180,Non-Professional Services,1,V00000921257,WOOLLARD NICHOLS AND ASSOCIATES,N/A,RFP,4400,BYS3021,12/09/2024,CT4400220511005682V00000921257
